,LTN NTNF 0.5y,LTN NTNF 1y,LTN NTNF 1.5y,LTN NTNF 2y,LTN NTNF 3y,LTN NTNF 4y,LTN NTNF 5y,LTN NTNF 6y,LTN NTNF 7y,LTN NTNF 8y,LTN NTNF 9y,LTN NTNF 10y
2015-12-23 00:00:00,297.5622612974436,314.33107450854686,320.02366007037773,322.72661418558334,316.3266281960235,318.17648995636404,309.22578957789324,319.5074976071861,306.89197711064816,312.91656238329307,313.0980656432837,313.0980656432837
2015-12-24 00:00:00,297.8795175631629,314.3434406044884,320.3959699889706,323.0249125420758,316.5604918344809,318.2399564677594,310.4962573841874,318.6685303250894,307.6735750701085,313.7135038639494,313.89546937967896,313.89546937967896
2015-12-28 00:00:00,297.9338670442535,314.8459457310591,320.62134377027513,323.47297177978834,316.5859928631111,318.47358101483564,310.6942849396211,319.30350357839313,306.08264166492944,312.0913389027915,312.27236350243,312.27236350243
2015-12-29 00:00:00,298.086561575243,314.8378791699606,320.63418608202693,323.4289706474894,316.79335318204244,318.42671922377576,310.7375605578869,318.8634018317882,306.0028563039581,312.0099872782925,312.19096469095905,312.19096469095905
2015-12-30 00:00:00,298.223512365367,314.97088757051125,320.70046620175054,323.3543141247709,316.66332824146684,317.87160532988497,310.49206594847146,318.05826096650435,304.77076092653846,310.75370468120303,310.9339534031761,310.9339534031761
2015-12-31 00:00:00,298.52570781673,315.28235700049487,321.7204726730135,323.6042368662553,317.1644151484,317.9290596917198,309.52729836034183,318.0551480263173,304.76818783157665,310.7510810739073,310.93132827409045,310.93132827409045
2016-01-04 00:00:00,298.5257076093086,315.66141879364613,321.7204724427919,323.94654866885446,317.18817869895685,318.6359178930768,309.73879925913434,319.3414972455646,306.74331637749907,312.76498329668306,312.9463986351582,312.9463986351582
2016-01-05 00:00:00,298.8370167716315,316.2915547859385,322.60004925470963,325.7508989307085,319.88736775381466,322.48955031840035,310.8664144849789,324.5894109275431,312.32681411545417,318.4580904762359,318.64280802890096,318.64280802890096
2016-01-06 00:00:00,299.0588024922515,316.6893508545811,323.3235982371582,326.7407975894147,321.2311563919605,324.20850091953366,315.3659676408572,326.7022492764712,314.2993614202684,320.4693607856527,320.6552449500021,320.6552449500021
2016-01-07 00:00:00,299.23516403735016,316.8151580466107,323.2272270725226,326.48337473416103,320.3926536315935,322.7175348708148,317.41202535703286,324.2666403782468,311.68135337229194,317.79995871663345,317.98429452836746,317.98429452836746
2016-01-08 00:00:00,299.3650472816376,317.0232877768983,323.5200821473134,326.7079656862717,320.69835732311316,322.4184587334773,315.3563758487477,323.4433750937558,310.78182143853553,316.8827681041087,317.06657191112896,317.06657191112896
2016-01-11 00:00:00,299.47654601848984,317.01546642065165,323.38451612534175,326.6264034885067,320.5718143247732,322.50164248486743,314.7810428105007,323.8183860257525,310.9727220968952,317.0774163263693,317.26133303660765,317.26133303660765
2016-01-12 00:00:00,299.70967753837067,317.4085369117365,323.87830690758625,327.09548384801604,320.92727609794696,322.89630805668685,314.8480810145985,324.15824792130974,311.22372259546404,317.33334420662254,317.5174093645628,317.5174093645628
2016-01-13 00:00:00,299.9004038449539,317.7375512358133,324.2730738841721,327.34725510470656,321.19882033333465,323.49575996735626,315.4427693123489,324.78296860945915,311.69099534525117,317.8097899708142,317.9941314850418,317.9941314850418
2016-01-14 00:00:00,300.0601566796279,317.8918793607698,324.2431344355249,327.02794460216427,320.3584625613996,322.23227046381584,313.76685117182154,323.24922514829956,310.2666352310294,316.35746829484725,316.54096740841464,316.54096740841464
2016-01-15 00:00:00,300.1959103289787,317.91339110048625,324.19600999211997,326.8558018141585,319.69973550464306,321.2747675493865,314.16663241836903,322.15413490652975,309.1052146365647,315.1732478948137,315.3560601164457,315.3560601164457
2016-01-18 00:00:00,300.360779346275,317.95604753768447,324.24164935849234,327.06817883717343,320.2614858267569,322.372133361269,313.1251415599538,323.6341307508112,310.57069089051953,316.66749285996167,316.8511717993229,316.8511717993229
2016-01-19 00:00:00,300.7223960632884,318.7172643089442,325.00676378379404,327.3617407619155,319.9915578424348,320.9484100956833,314.48752622760895,320.7344054653716,307.33639879144073,313.3697084899835,313.5514745915923,313.5514745915923
2016-01-20 00:00:00,301.0297009167427,319.51687238447676,325.661027876336,327.26377536583175,319.10438963511535,319.5400495084973,312.687772751911,318.96917583877087,305.7396994991819,311.74166445182567,311.9224862272598,311.9224862272598
2016-01-21 00:00:00,301.56881531444856,320.399969068826,327.0856734929219,329.3859183999219,320.81381122198,320.4184039475923,310.22884487964006,319.0503586303752,305.4362839936821,311.4322926075413,311.612934935784,311.612934935784
2016-01-22 00:00:00,301.73198458449036,320.68189763887693,327.85510997274764,330.7470012244862,322.76812288079356,322.3024633175337,311.9460089581858,319.180256422266,304.9004687065564,310.8859587499464,311.0662841842048,311.0662841842048
2016-01-25 00:00:00,301.8801103645494,320.971812708901,329.033750504691,331.060571059824,322.39655317665904,320.55834163720954,314.08808345560374,318.3799294725592,305.8597371152989,311.8640585220313,312.04495129058444,312.04495129058444
2016-01-26 00:00:00,302.11090581485763,321.34193516828697,329.03375021375444,332.59136604574155,325.47366705626433,325.3151229200552,314.4919509388648,323.1913442330553,308.8049546936058,314.86709355980406,315.0497282005198,315.0497282005198
2016-01-27 00:00:00,302.3277153216083,321.59381078717706,329.5213060577478,333.1288562247087,325.7695742448982,324.8931959788496,317.7116122845283,322.0677460330935,307.6316488150634,313.6707545561121,313.852695275651,313.852695275651
2016-01-28 00:00:00,302.61528102587846,322.4241796289154,330.87598031840355,335.3241113526226,328.42213857533136,328.0363789107552,317.11343008737737,325.6501966639644,311.6344391689361,317.752123542253,317.93643160780437,317.93643160780437
2016-01-29 00:00:00,302.71398954822786,322.4124922890521,331.0151780535218,335.4380180406408,329.84216007531836,331.04813252144083,323.7303097790742,330.53872588914,315.93694655035836,322.13909329004144,322.32594596142843,322.32594596142843
2016-02-01 00:00:00,302.93769484146304,322.86231020952636,331.8780089344736,337.125647812117,332.6286083883308,334.6930988014677,324.32709849887294,334.8246906479669,320.39826329956634,326.68798998655507,326.87748118743855,326.87748118743855
2016-02-02 00:00:00,303.0396063835133,322.86610481128264,331.60767847592615,336.4865689194633,330.6851805921942,331.9764271714091,328.84895288892983,331.297247178844,317.30401132999845,323.36034846958677,323.5208302373818,323.5208302373818
2016-02-03 00:00:00,303.1864973690277,322.9228431452252,331.68701053667576,336.44419462408905,330.79384531233177,332.57071170731,325.0838165329364,332.9631271292503,319.4064278658426,325.87580464780586,326.09605648708043,326.09605648708043
2016-02-04 00:00:00,303.284560904111,322.9333943533767,331.3957529096299,335.8098810884639,329.82994863332976,331.27340023094047,327.0119581846651,330.7569025511049,316.5439160671577,322.60093476157147,322.7634233369221,322.7634233369221
2016-02-05 00:00:00,303.4125347438561,323.0171039733848,331.36522013741154,335.82820990762445,329.8736459329144,331.51993760568075,324.2040973443985,331.3894945257105,317.1259728886648,322.8291394211575,322.9344670884876,322.9344670884876
2016-02-10 00:00:00,303.70884161414307,323.6099444673487,332.2056298911699,336.68109073648634,330.7844211358057,332.29541589392016,324.2851454255915,331.99095133691367,317.73310387312307,323.3761933839369,323.47054598449785,323.47054598449785
2016-02-11 00:00:00,303.8258582589,323.5844728774583,331.93941334520173,336.19307601822766,329.325217353628,329.86180798040607,325.4209072070187,329.4399760409646,315.7075065842977,321.58912119497535,321.72608643867056,321.72608643867056
2016-02-12 00:00:00,304.03474442600236,323.906031151726,332.4732165723638,336.8785125116074,330.25795151844363,330.78495823514254,321.89294509061307,330.45670893035617,316.53610171290603,322.33711276996814,322.45931804247726,322.45931804247726
2016-02-15 00:00:00,304.2141131576791,324.13787664212725,332.91221902704297,337.4708165827799,330.9284352057018,331.3809327704601,322.91174992487333,331.42859380667505,317.7116428517208,324.04173689652754,324.24429704239725,324.24429704239725
2016-02-16 00:00:00,304.4505150104204,324.66164313332524,333.75199620155456,338.6277787116194,331.84832130464724,331.9000083108303,323.65570437351164,331.1160939605372,316.81114871523374,322.7178895906345,322.8560523675588,322.8560523675588
2016-02-17 00:00:00,304.6679291180295,324.9677342874522,334.2723090125371,339.5532222417371,333.92382163083926,335.06767659327966,323.95396182790574,334.89917799559385,319.9919752828167,326.36753590373246,326.5715551212631,326.5715551212631
2016-02-18 00:00:00,304.75059976976695,324.918628083857,334.1774549615344,339.2687068807804,333.2238089118053,333.91135725071786,326.7789180082887,334.00419755661244,320.4471149387091,326.8082216660742,327.0088280185405,327.0088280185405
2016-02-19 00:00:00,304.967262186369,325.3596207450805,334.92763179692673,340.3703609304785,334.94908031892703,335.7879516590225,326.4204738816505,336.51818785429685,323.5592784323809,330.2813471554633,330.5310016850827,330.5310016850827
2016-02-22 00:00:00,305.18148847153276,325.6947826721461,335.4372498121844,340.88069726913653,336.06767875458604,338.43030158746717,328.4412451521382,341.42882910136444,327.89201498016996,335.2526405049736,335.5919942070405,335.5919942070405
2016-02-23 00:00:00,305.2989780328204,325.7876076706944,335.40740670831224,340.8358832427416,335.59568276233784,337.4896456983378,332.17597138825727,338.9195205320914,324.9390543604949,331.6112067828876,331.8495549563537,331.8495549563537
2016-02-24 00:00:00,305.48237039097376,326.0473790028068,335.82164922010156,341.5454458070328,336.5877669258414,338.6035134827463,329.3522662239087,339.87623484396187,325.44973897367254,332.3261520397125,332.59538038302793,332.59538038302793
2016-02-25 00:00:00,305.6074236167902,326.0768435179382,335.73029255105575,341.2286530706174,335.87433734474706,337.1453083025939,332.20691219894024,336.6448581048727,322.12036998613047,328.9582304672858,329.22970978501075,329.22970978501075
2016-02-26 00:00:00,305.70918059662586,326.15239593318336,335.6205435898764,341.03673087593836,335.67534929408316,336.35333075670235,329.5607019321691,334.9509335242386,320.53197588965975,327.6447997755649,327.9635355644998,327.9635355644998
2016-02-29 00:00:00,305.87416379165444,326.4934826527984,336.30237148295157,341.89939782624975,336.9464210900414,338.07410985153547,329.17923612743766,336.2450530339418,321.37843851526844,328.50494311819125,328.8237172908721,328.8237172908721
2016-03-01 00:00:00,306.17383397336243,327.12285330326415,337.50733466836084,343.6170858060948,339.14882282753854,340.22631074693624,331.4282647035106,339.241864741104,324.8333966355417,332.58467658080417,332.9931739420637,332.9931739420637
2016-03-02 00:00:00,306.35634919140114,327.2322257950288,337.60882123105415,343.7783764569376,339.8438202343917,342.06576049388804,333.81344958063875,342.1646874641498,327.84421756000734,336.13807828693444,336.58928641742796,336.58928641742796
2016-03-03 00:00:00,306.5243887413867,327.4699754367759,337.97811311270596,344.4269603541796,341.42253653473426,344.9364686096038,336.2156234496459,347.24843026248067,333.55843484691735,342.28709481094853,342.7701668967451,342.7701668967451
2016-03-04 00:00:00,306.66250529436724,327.63587242566183,338.2476732180019,344.9862681490976,343.07249439644954,349.1058493872373,346.6780518738059,355.07899095649475,342.3124315607479,352.14665947380837,352.71488524651284,352.71488524651284
2016-03-07 00:00:00,306.7758691995856,327.53507004812957,337.75178607623803,343.97791824065354,341.79340986505974,346.9859543827808,346.0181993169888,351.0109228614724,337.80853301507045,347.15937739203713,347.6908557562651,347.6908557562651
2016-03-08 00:00:00,306.9813425739187,327.97045301449873,338.61375252981145,345.4473393966832,344.4396570035144,349.9325500632692,343.2839833178994,353.6484231685994,339.9434328494689,349.0844630508891,349.597064469166,349.597064469166
2016-03-09 00:00:00,307.2655929078378,328.6551076691587,339.80902914507317,347.2491585263342,347.1088960947575,352.99078375499465,351.0544985395368,357.6367550535284,344.47559298875535,353.9088915285862,354.4424170775608,354.4424170775608
2016-03-10 00:00:00,307.4728748010189,329.0322767684364,340.5343054501206,348.23816032393256,348.6430681942686,354.4120936846771,351.71956726521586,359.686322149189,347.2280028124059,357.985362695675,358.62640348716263,358.62640348716263
2016-03-11 00:00:00,307.6756534437287,329.5392911290691,341.61857030900444,349.9314430974344,350.70578574221474,355.95151344216936,352.38530924763626,361.5179220383774,349.30895538170154,361.1781482674661,361.90963591391926,361.90963591391926
2016-03-14 00:00:00,307.8158389626936,329.67528645076214,342.08027509368594,349.9593241914721,350.13934391885516,355.48072996187443,354.1090129910855,361.1043497622433,349.59615959085806,360.73379757654124,361.4045884305136,361.4045884305136
2016-03-15 00:00:00,307.93709208499104,329.4573109033481,341.08406193537405,348.661737526988,347.4351264601494,351.6452989994487,349.82176025788647,355.6487639368355,343.1550621295491,353.83147613733786,354.4687381536982,354.4687381536982
2016-03-16 00:00:00,308.17420333564,329.99479130905246,341.8001958327183,349.0525881787522,347.7351190088013,351.8626543900143,344.2834591461029,356.3225486962955,344.100541818426,355.45463651535107,356.14725845130175,356.14725845130175
2016-03-17 00:00:00,308.3315627650097,330.31271066848916,342.6364830615845,350.8646149161786,351.82844116126444,358.0340491146974,353.5522669988075,365.491773168181,354.32496525139425,366.97696637992317,367.76959399589475,367.76959399589475
2016-03-18 00:00:00,308.4599588719299,330.41892896509177,342.8432588771274,351.5740499855916,352.55566294571616,358.8814258149472,357.0374517573804,365.80611335773295,354.5008943896095,366.5063428142386,367.2453819796387,367.2453819796387
2016-03-21 00:00:00,308.5985613011724,330.6104639315439,343.0148444591399,351.7470463383572,353.2809753201967,360.6156652070924,357.80433785439993,368.47920898505896,357.33548810571875,369.5462343260616,370.3002208972453,370.3002208972453
2016-03-22 00:00:00,308.77374529426663,331.0105506535527,343.8150251091023,352.9632482998793,356.00709400486153,363.8023328839578,360.32941806058096,372.6376123560296,361.45519021475,374.09336513065386,374.8797472056734,374.8797472056734
2016-03-23 00:00:00,308.9098904399126,331.1705075836263,343.64489476508163,352.4314996314413,354.1379910902904,360.9877962527488,364.4742568470899,367.83037316063763,355.9563243203178,368.3788290688083,369.1513125696578,369.1513125696578
2016-03-24 00:00:00,309.0271280554301,331.0407447744257,343.1681197906794,351.3017970854095,352.19747454837886,358.39915906702385,358.4774227179413,364.8518656259421,353.22424840699045,365.1271405656054,365.8586130402879,365.8586130402879
2016-03-28 00:00:00,309.2265943499594,331.43201998855363,344.0492863628872,352.9725850703869,355.3976621300823,362.8313635687935,361.66863251879676,370.4354389577693,358.72188435446367,371.0833920524599,371.84885280190304,371.84885280190304
2016-03-29 00:00:00,309.3776151600515,331.67291828636525,344.48811772686554,353.7022418901389,356.9926593528122,365.4673170963349,363.2277999883632,374.7444995512678,363.6181689759525,376.85752385561324,377.6920688878156,377.6920688878156
2016-03-30 00:00:00,309.51595619862314,331.7010424495386,344.13726666440584,352.9132408980963,356.0252011590173,364.1077380924676,366.8207145899285,372.9324177244712,361.85279258119647,375.4771712185368,376.344816612527,376.344816612527
2016-03-31 00:00:00,309.629955084468,331.4224255510628,343.20962716153883,351.35653190711884,353.20576586384936,360.71153238167904,363.58303571849797,368.88475339247157,357.58246675852314,370.724115257319,371.554900130628,371.554900130628
2016-04-01 00:00:00,309.8492721103884,331.9523844705811,344.1197435053931,352.63623272826146,355.20062571246757,363.2295256102451,360.6368865811044,372.3694637192099,361.3586026054952,375.28768899006064,376.18088388495534,376.18088388495534
2016-04-04 00:00:00,309.9760214847225,331.9475139454539,343.81940036747005,352.0142497938391,353.38552806138813,360.38845136303496,363.8454774241056,367.849639707532,356.49025654045795,369.0871415613439,369.9655789849137,369.9655789849137
2016-04-05 00:00:00,310.1452424704413,332.1915428659488,344.2088458677597,352.5404925334847,353.9961568075378,360.41250558773527,360.26265415647487,368.29936451678003,356.9408182494593,369.30591280629955,370.1848709113754,370.1848709113754
